Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
Mike	23:37 1/4/2022	160
Lana	23:37 1/4/2022	93
Tom	23:37 1/4/2022	116
Jim	23:37 1/4/2022	115
TomH	23:37 1/4/2022	143
Mike	23:40 1/4/2022	103
Tom	23:41 1/4/2022	162
Lana	23:41 1/4/2022	97
TomH	23:41 1/4/2022	156
Mike	18:25 1/0/2022	134
Jim	18:25 1/0/2022	106
Mike	18:33 1/0/2022	158
Tom	18:33 1/0/2022	139
Jim	18:41 1/0/2022	138
Tom	18:41 1/0/2022	104
Jim	18:43 1/0/2022	194
Mike	18:46 1/0/2022	177
Mike	18:52 1/0/2022	112
Mike	0:58 1/2/2022	168
Jim	0:58 1/2/2022	154
Tom	10:0 1/2/2022	146
Mike	19:34 1/2/2022	117
Jim	20:8 1/3/2022	149
Mike	20:8 1/3/2022	137
Mike	16:47 1/5/2022	103
Tom	16:47 1/5/2022	135
Jim	19:55 1/5/2022	90
Mike	16:0 1/0/2022	118
Lana	16:0 1/0/2022	115
Jim	18:27 2/3/2022	117
Tom	18:27 2/3/2022	93
Tom	1:19 2/4/2022	76
Mike	1:19 2/4/2022	125
Lana	1:19 2/4/2022	153
Tom	1:20 2/4/2022	138
Mike	1:20 2/4/2022	127
Lana	1:20 2/4/2022	157
